site.id,risk.type,species,season,index.value
H13,Habitat,etc,Dry,9.074026766
I02,Habitat,etc,Dry,5.900736516
I03,Habitat,etc,Dry,2.314626719
I04,Habitat,etc,Dry,6.137678246
I05,Habitat,etc,Dry,4.023332762
I06,Habitat,etc,Dry,15.7583025
I07,Habitat,etc,Dry,2.850722854
I08,Habitat,etc,Dry,10.87748037
I09,Habitat,etc,Dry,4.358299192
I10,Habitat,etc,Dry,0.547789863
I11,Habitat,etc,Dry,0.06904516
I12,Habitat,etc,Dry,0.495151915
I13,Habitat,etc,Dry,3.357530654
J02,Habitat,etc,Dry,26.9943157
J03,Habitat,etc,Dry,3.690327251
J04,Habitat,etc,Dry,3.655301384
J05,Habitat,etc,Dry,4.237963541
J06,Habitat,etc,Dry,10.85852189
J07,Habitat,etc,Dry,2.170032959
J08,Habitat,etc,Dry,7.193346244
J09,Habitat,etc,Dry,12.01490782
J10,Habitat,etc,Dry,3.228496806
J11,Habitat,etc,Dry,0.323573482
J12,Habitat,etc,Dry,0.757397798
J13,Habitat,etc,Dry,6.079291039
K03,Habitat,etc,Dry,25.31305087
K04,Habitat,etc,Dry,7.856289276
K05,Habitat,etc,Dry,13.57330531
K06,Habitat,etc,Dry,3.892031147
K07,Habitat,etc,Dry,0.518873782
K08,Habitat,etc,Dry,1.669761171
K09,Habitat,etc,Dry,1.875883048
K10,Habitat,etc,Dry,6.962835417
K11,Habitat,etc,Dry,1.303757109
K12,Habitat,etc,Dry,0.649793272
K13,Habitat,etc,Dry,0.640628339
L03,Habitat,etc,Dry,15.12349198
L04,Habitat,etc,Dry,8.704025775
L05,Habitat,etc,Dry,2.433466681
L06,Habitat,etc,Dry,0.756793138
L07,Habitat,etc,Dry,0.211423531
L08,Habitat,etc,Dry,0.35786005
L09,Habitat,etc,Dry,0.739598859
L10,Habitat,etc,Dry,0.883216216
L11,Habitat,etc,Dry,1.067313401
L12,Habitat,etc,Dry,2.35358911
L13,Habitat,etc,Dry,0.59194586
M03,Habitat,etc,Dry,2.854131744
M04,Habitat,etc,Dry,15.3133454
M05,Habitat,etc,Dry,8.842982443
M06,Habitat,etc,Dry,1.344617915
M07,Habitat,etc,Dry,0.271168614
M08,Habitat,etc,Dry,0.106919802
M09,Habitat,etc,Dry,0.177220659
M10,Habitat,etc,Dry,0.264865379
M11,Habitat,etc,Dry,0.28661205
M12,Habitat,etc,Dry,0.617611502
M13,Habitat,etc,Dry,0.367037515
N03,Habitat,etc,Dry,0.771850335
N04,Habitat,etc,Dry,2.930480897
N05,Habitat,etc,Dry,9.328920988
N06,Habitat,etc,Dry,2.458487884
N07,Habitat,etc,Dry,0.726189746
N08,Habitat,etc,Dry,2.25653061
N09,Habitat,etc,Dry,1.351477081
N10,Habitat,etc,Dry,1.614826467
N11,Habitat,etc,Dry,0.747584281
N12,Habitat,etc,Dry,0.072256953
N13,Habitat,etc,Dry,0.049052599
O04,Habitat,etc,Dry,0.713307341
O05,Habitat,etc,Dry,1.501012363
O06,Habitat,etc,Dry,4.649675936
O07,Habitat,etc,Dry,2.326582361
O08,Habitat,etc,Dry,7.780652143
O09,Habitat,etc,Dry,13.02801518
O10,Habitat,etc,Dry,11.41256977
O11,Habitat,etc,Dry,1.549487988
O12,Habitat,etc,Dry,0.102017489
O13,Habitat,etc,Dry,0.008012803
P04,Habitat,etc,Dry,0.102800644
P05,Habitat,etc,Dry,0.552744935
P06,Habitat,etc,Dry,1.237313112
P06,Habitat,etc,Dry,1.237313112
P07,Habitat,etc,Dry,3.251484225
P08,Habitat,etc,Dry,1.29928636
P09,Habitat,etc,Dry,1.852813889
P10,Habitat,etc,Dry,0.363116504
P11,Habitat,etc,Dry,0.333415009
P12,Habitat,etc,Dry,0.048101786
P13,Habitat,etc,Dry,0.005037847
Q05,Habitat,etc,Dry,0.080965801
Q06,Habitat,etc,Dry,0.360964216
Q07,Habitat,etc,Dry,1.123499854
Q08,Habitat,etc,Dry,1.824703254
Q09,Habitat,etc,Dry,0.883816255
Q10,Habitat,etc,Dry,0.156806341
Q11,Habitat,etc,Dry,0.026829153
Q12,Habitat,etc,Dry,0.008790615
Q13,Habitat,etc,Dry,0.001338162
R05,Habitat,etc,Dry,0.019399899
R06,Habitat,etc,Dry,0.05660807
R07,Habitat,etc,Dry,0.518441163
R08,Habitat,etc,Dry,2.116637538
R09,Habitat,etc,Dry,2.740010627
R10,Habitat,etc,Dry,0.58308863
R11,Habitat,etc,Dry,0.085972112
R12,Habitat,etc,Dry,0.007898904
R13,Habitat,etc,Dry,0.000826743
S07,Habitat,etc,Dry,0.148004089
S08,Habitat,etc,Dry,1.228947124
S09,Habitat,etc,Dry,7.568431133
S10,Habitat,etc,Dry,1.967777029
S11,Habitat,etc,Dry,0.222814071
S12,Habitat,etc,Dry,0.029636
S13,Habitat,etc,Dry,0.006874226
T08,Habitat,etc,Dry,0.706833448
T09,Habitat,etc,Dry,6.277589555
T10,Habitat,etc,Dry,3.907737401
T11,Habitat,etc,Dry,0.763412781
T12,Habitat,etc,Dry,0.1110375
T13,Habitat,etc,Dry,0.154901205
U09,Habitat,etc,Dry,0.866753617
U10,Habitat,etc,Dry,4.845739807
U11,Habitat,etc,Dry,2.553297796
U12,Habitat,etc,Dry,1.230264957
U13,Habitat,etc,Dry,0.753916049
V10,Habitat,etc,Dry,0.749595286
B03,Habitat,topi,Wet,0.506639803
B04,Habitat,topi,Wet,0.366418399
B05,Habitat,topi,Wet,0.489035562
B06,Habitat,topi,Wet,0.58531439
B07,Habitat,topi,Wet,0.679570538
B08,Habitat,topi,Wet,0.553566618
C02,Habitat,topi,Wet,1.441825667
C03,Habitat,topi,Wet,1.053509584
C04,Habitat,topi,Wet,0.744583664
C05,Habitat,topi,Wet,0.773181828
C06,Habitat,topi,Wet,1.379104446
C07,Habitat,topi,Wet,1.30704987
C08,Habitat,topi,Wet,0.853082674
C09,Habitat,topi,Wet,0.478436348
C10,Habitat,topi,Wet,0.239903747
C11,Habitat,topi,Wet,0.164541782
C12,Habitat,topi,Wet,0.392594421
C13,Habitat,topi,Wet,0.859645405
D02,Habitat,topi,Wet,2.52926349
D03,Habitat,topi,Wet,1.664885861
D04,Habitat,topi,Wet,2.173116343
D05,Habitat,topi,Wet,1.519828045
D06,Habitat,topi,Wet,2.706103096
D07,Habitat,topi,Wet,2.722267342
D08,Habitat,topi,Wet,0.819176415
D09,Habitat,topi,Wet,0.392610703
D10,Habitat,topi,Wet,0.200189752
D11,Habitat,topi,Wet,0.115179333
D12,Habitat,topi,Wet,0.222964065
D13,Habitat,topi,Wet,0.505241623
E01,Habitat,topi,Wet,2.264152295
E02,Habitat,topi,Wet,2.201453761
E03,Habitat,topi,Wet,1.947609868
E04,Habitat,topi,Wet,3.962557348
E05,Habitat,topi,Wet,2.54616659
E06,Habitat,topi,Wet,2.048953876
E07,Habitat,topi,Wet,1.823483385
E08,Habitat,topi,Wet,0.747368439
E09,Habitat,topi,Wet,0.278284737
E10,Habitat,topi,Wet,0.173131937
E11,Habitat,topi,Wet,0.11015826
E12,Habitat,topi,Wet,0.19291279
E13,Habitat,topi,Wet,0.407712785
F01,Habitat,topi,Wet,1.107764015
F02,Habitat,topi,Wet,1.230662518
F03,Habitat,topi,Wet,1.610443454
F04,Habitat,topi,Wet,2.086873907
F05,Habitat,topi,Wet,1.922321475
F06,Habitat,topi,Wet,1.309081165
F07,Habitat,topi,Wet,0.857452106
F08,Habitat,topi,Wet,0.528985645
F09,Habitat,topi,Wet,0.252390298
F10,Habitat,topi,Wet,0.154401105
F11,Habitat,topi,Wet,0.157403784
F12,Habitat,topi,Wet,0.334955924
F13,Habitat,topi,Wet,0.444232014
G01,Habitat,topi,Wet,1.58706798
G02,Habitat,topi,Wet,1.853840305
G03,Habitat,topi,Wet,3.632434587
G04,Habitat,topi,Wet,2.534927579
G05,Habitat,topi,Wet,2.387682527
G06,Habitat,topi,Wet,1.381888269
G07,Habitat,topi,Wet,1.9473407
G08,Habitat,topi,Wet,1.173326947
G09,Habitat,topi,Wet,0.548457528
G11,Habitat,topi,Wet,0.223135359
G12,Habitat,topi,Wet,0.343121844
G13,Habitat,topi,Wet,0.993797107
H01,Habitat,topi,Wet,3.511873643
H02,Habitat,topi,Wet,2.881877268
H03,Habitat,topi,Wet,2.883320926
H04,Habitat,topi,Wet,2.177126898
H05,Habitat,topi,Wet,1.68630424
H06,Habitat,topi,Wet,2.958862605
H07,Habitat,topi,Wet,4.260385202
H08,Habitat,topi,Wet,4.22050548
H09,Habitat,topi,Wet,1.468400527
H10,Habitat,topi,Wet,0.546348708
H11,Habitat,topi,Wet,0.295046929
H12,Habitat,topi,Wet,0.510055206
H13,Habitat,topi,Wet,1.674611487
I02,Habitat,topi,Wet,3.466879921
I03,Habitat,topi,Wet,1.621995415
I04,Habitat,topi,Wet,1.971514558
I05,Habitat,topi,Wet,3.325605611
I06,Habitat,topi,Wet,3.538025438
I07,Habitat,topi,Wet,3.767021553
I08,Habitat,topi,Wet,4.935106853
I09,Habitat,topi,Wet,2.331169214
I10,Habitat,topi,Wet,0.905963778
I11,Habitat,topi,Wet,0.291864956
I12,Habitat,topi,Wet,0.409650275
I13,Habitat,topi,Wet,1.337101091
J02,Habitat,topi,Wet,4.658901122
J03,Habitat,topi,Wet,2.369128574
J04,Habitat,topi,Wet,1.864278046
J05,Habitat,topi,Wet,2.357665931
J06,Habitat,topi,Wet,4.396412559
J07,Habitat,topi,Wet,2.487133381
J08,Habitat,topi,Wet,3.372383659
J09,Habitat,topi,Wet,2.9087869
J10,Habitat,topi,Wet,1.375039386
J11,Habitat,topi,Wet,0.35716144
J12,Habitat,topi,Wet,0.512801948
J13,Habitat,topi,Wet,1.369287888
K03,Habitat,topi,Wet,5.519942212
K04,Habitat,topi,Wet,2.844266059
K05,Habitat,topi,Wet,2.416771951
K06,Habitat,topi,Wet,3.29621455
K07,Habitat,topi,Wet,2.274031495
K08,Habitat,topi,Wet,3.073279894
K09,Habitat,topi,Wet,2.485004399
K10,Habitat,topi,Wet,1.564688663
K11,Habitat,topi,Wet,0.540360039
K12,Habitat,topi,Wet,0.396308968
K13,Habitat,topi,Wet,0.845661862
L03,Habitat,topi,Wet,3.696851326
L04,Habitat,topi,Wet,4.182682011
L05,Habitat,topi,Wet,1.887738808
L06,Habitat,topi,Wet,1.280923928
L07,Habitat,topi,Wet,1.035520539
L08,Habitat,topi,Wet,1.977138119
L09,Habitat,topi,Wet,1.102488663
L10,Habitat,topi,Wet,0.810391094
L11,Habitat,topi,Wet,0.460599312
L12,Habitat,topi,Wet,0.393947542
L13,Habitat,topi,Wet,0.626437353
M03,Habitat,topi,Wet,2.186787346
M04,Habitat,topi,Wet,4.630250562
M05,Habitat,topi,Wet,2.566658791
M06,Habitat,topi,Wet,1.199578754
M07,Habitat,topi,Wet,0.740060271
M08,Habitat,topi,Wet,0.887905116
M09,Habitat,topi,Wet,0.973936797
M10,Habitat,topi,Wet,0.711243688
M11,Habitat,topi,Wet,0.706852558
M12,Habitat,topi,Wet,0.480851975
M13,Habitat,topi,Wet,0.559109096
N03,Habitat,topi,Wet,1.630307334
N04,Habitat,topi,Wet,3.924774551
N05,Habitat,topi,Wet,3.286496944
N06,Habitat,topi,Wet,1.46181191
N07,Habitat,topi,Wet,1.337329742
N08,Habitat,topi,Wet,3.16320796
N09,Habitat,topi,Wet,2.200786127
N10,Habitat,topi,Wet,1.938114757
N11,Habitat,topi,Wet,1.295190331
N12,Habitat,topi,Wet,0.533698137
N13,Habitat,topi,Wet,0.315700996
O04,Habitat,topi,Wet,1.686927983
O05,Habitat,topi,Wet,1.53397365
O06,Habitat,topi,Wet,1.014833166
O07,Habitat,topi,Wet,1.150344417
O08,Habitat,topi,Wet,1.511396919
O09,Habitat,topi,Wet,2.299722634
O10,Habitat,topi,Wet,3.920579202
O11,Habitat,topi,Wet,1.872234242
O12,Habitat,topi,Wet,0.687362958
O13,Habitat,topi,Wet,0.221953101
P04,Habitat,topi,Wet,0.553608559
P05,Habitat,topi,Wet,0.568155264
P06,Habitat,topi,Wet,0.459247868
P06,Habitat,topi,Wet,0.459247868
P07,Habitat,topi,Wet,0.787102518
P08,Habitat,topi,Wet,0.944480506
P09,Habitat,topi,Wet,1.139793827
P10,Habitat,topi,Wet,1.328426506
P11,Habitat,topi,Wet,1.244458581
P12,Habitat,topi,Wet,0.501135759
P13,Habitat,topi,Wet,0.153811824
Q05,Habitat,topi,Wet,0.196791729
Q06,Habitat,topi,Wet,0.206882202
Q07,Habitat,topi,Wet,0.355455356
Q08,Habitat,topi,Wet,0.51263083
Q09,Habitat,topi,Wet,0.592525083
Q10,Habitat,topi,Wet,0.637388837
Q11,Habitat,topi,Wet,0.463658001
Q12,Habitat,topi,Wet,0.271506787
Q13,Habitat,topi,Wet,0.113185694
R05,Habitat,topi,Wet,0.110678891
R06,Habitat,topi,Wet,0.082690254
R07,Habitat,topi,Wet,0.214596666
R08,Habitat,topi,Wet,0.536603665
R09,Habitat,topi,Wet,1.213636708
R10,Habitat,topi,Wet,1.227712895
R11,Habitat,topi,Wet,0.858217131
R12,Habitat,topi,Wet,0.381354521
R13,Habitat,topi,Wet,0.145811187
S07,Habitat,topi,Wet,0.196336211
S08,Habitat,topi,Wet,0.620121751
S09,Habitat,topi,Wet,1.982497625
S10,Habitat,topi,Wet,3.110945182
S11,Habitat,topi,Wet,1.722439157
S12,Habitat,topi,Wet,0.555095132
S13,Habitat,topi,Wet,0.273489813
T08,Habitat,topi,Wet,0.532318629
T09,Habitat,topi,Wet,1.605954178
T10,Habitat,topi,Wet,2.892868352
T11,Habitat,topi,Wet,2.468550751
T12,Habitat,topi,Wet,0.931506607
T13,Habitat,topi,Wet,1.103849694
U09,Habitat,topi,Wet,0.906325221
U10,Habitat,topi,Wet,1.589167573
U11,Habitat,topi,Wet,2.334127173
U12,Habitat,topi,Wet,2.357667709
U13,Habitat,topi,Wet,2.274919895
V10,Habitat,topi,Wet,0.506639803
B03,Habitat,topi,Dry,0.749595286
B04,Habitat,topi,Dry,1.32444696
B05,Habitat,topi,Dry,1.676987027
B06,Habitat,topi,Dry,0.415455572
B07,Habitat,topi,Dry,0.397987729
B08,Habitat,topi,Dry,0.428776823
C02,Habitat,topi,Dry,1.322602484
C03,Habitat,topi,Dry,3.300765414
C04,Habitat,topi,Dry,1.124266883
C05,Habitat,topi,Dry,0.57000232
C06,Habitat,topi,Dry,0.442065018
C07,Habitat,topi,Dry,0.234079315
C08,Habitat,topi,Dry,0.164394406
C09,Habitat,topi,Dry,0.296832137
C10,Habitat,topi,Dry,0.094666973
C11,Habitat,topi,Dry,0.06841159
C12,Habitat,topi,Dry,0.925012293
C13,Habitat,topi,Dry,8.064705935
D02,Habitat,topi,Dry,7.844423443
D03,Habitat,topi,Dry,6.350181174
D04,Habitat,topi,Dry,11.27976027
D05,Habitat,topi,Dry,4.326683095
D06,Habitat,topi,Dry,3.287332845
D07,Habitat,topi,Dry,1.245161463
D08,Habitat,topi,Dry,0.101060468
D09,Habitat,topi,Dry,0.052145328
D10,Habitat,topi,Dry,0.023287288
D11,Habitat,topi,Dry,0.057742086
D12,Habitat,topi,Dry,0.502484812
D13,Habitat,topi,Dry,2.545023437
E01,Habitat,topi,Dry,11.44821816
E02,Habitat,topi,Dry,23.33048386
E03,Habitat,topi,Dry,7.330376812
E04,Habitat,topi,Dry,6.322938126
E05,Habitat,topi,Dry,8.035463899
E06,Habitat,topi,Dry,9.448380058
E07,Habitat,topi,Dry,1.454241418
E08,Habitat,topi,Dry,0.224792029
E09,Habitat,topi,Dry,0.019620847
E10,Habitat,topi,Dry,0.037889164
E11,Habitat,topi,Dry,0.122484588
E12,Habitat,topi,Dry,0.885833573
E13,Habitat,topi,Dry,1.790941248
F01,Habitat,topi,Dry,9.855220459
F02,Habitat,topi,Dry,3.165028404
F03,Habitat,topi,Dry,1.526402484
F04,Habitat,topi,Dry,1.480472364
F05,Habitat,topi,Dry,3.584701378
F06,Habitat,topi,Dry,8.369530356
F07,Habitat,topi,Dry,0.875565003
F08,Habitat,topi,Dry,0.330613177
F09,Habitat,topi,Dry,0.066609858
F10,Habitat,topi,Dry,0.038584914
F11,Habitat,topi,Dry,0.222922343
F12,Habitat,topi,Dry,2.761419752
F13,Habitat,topi,Dry,0.934122633
