wet.dry,pd.day,pop.unit,site.id,var.measure,var.measure.unit,var.val
Wet,Day,Barafu,E04,Predator occupancy (lions/km2),Density,36
Dry,Day,Barafu,E04,Predator occupancy (lions/km2),Density,12
Wet,Night,Barafu,E04,Predator occupancy (lions/km2),Density,34
Dry,Night,Barafu,E04,Predator occupancy (lions/km2),Density,8
Wet,Day,Barafu,E05,Predator occupancy (lions/km2),Density,36
Dry,Day,Barafu,E05,Predator occupancy (lions/km2),Density,6
Wet,Night,Barafu,E05,Predator occupancy (lions/km2),Density,23
Dry,Night,Barafu,E05,Predator occupancy (lions/km2),Density,2
Wet,Day,Barafu,E06,Predator occupancy (lions/km2),Density,54
Dry,Day,Barafu,E06,Predator occupancy (lions/km2),Density,9
Wet,Night,Barafu,E06,Predator occupancy (lions/km2),Density,33
Dry,Night,Barafu,E06,Predator occupancy (lions/km2),Density,37
Wet,Day,Barafu,E07,Predator occupancy (lions/km2),Density,24
Dry,Day,Barafu,E07,Predator occupancy (lions/km2),Density,6
Wet,Night,Barafu,E07,Predator occupancy (lions/km2),Density,21
Dry,Night,Barafu,E07,Predator occupancy (lions/km2),Density,30
Wet,Day,Barafu,E08,Predator occupancy (lions/km2),Density,6
Dry,Day,Barafu,E08,Predator occupancy (lions/km2),Density,11
Wet,Night,Barafu,E08,Predator occupancy (lions/km2),Density,26
Dry,Night,Barafu,E08,Predator occupancy (lions/km2),Density,36
Wet,Day,Barafu,E09,Predator occupancy (lions/km2),Density,9
Dry,Day,Barafu,E09,Predator occupancy (lions/km2),Density,12
Wet,Night,Barafu,E09,Predator occupancy (lions/km2),Density,0
Dry,Night,Barafu,E09,Predator occupancy (lions/km2),Density,35
Wet,Day,Barafu,E10,Predator occupancy (lions/km2),Density,31
Dry,Day,Barafu,E10,Predator occupancy (lions/km2),Density,41
Wet,Night,Barafu,E10,Predator occupancy (lions/km2),Density,41
Dry,Night,Barafu,E10,Predator occupancy (lions/km2),Density,24
Wet,Day,Barafu,E11,Predator occupancy (lions/km2),Density,35
Dry,Day,Barafu,E11,Predator occupancy (lions/km2),Density,49
Wet,Night,Barafu,E11,Predator occupancy (lions/km2),Density,18
Dry,Night,Barafu,E11,Predator occupancy (lions/km2),Density,30
Wet,Day,Barafu,E12,Predator occupancy (lions/km2),Density,4
Dry,Day,Barafu,E12,Predator occupancy (lions/km2),Density,15
Wet,Night,Barafu,E12,Predator occupancy (lions/km2),Density,13
Dry,Night,Barafu,E12,Predator occupancy (lions/km2),Density,28
Wet,Day,Barafu,E13,Predator occupancy (lions/km2),Density,17
Dry,Day,Barafu,E13,Predator occupancy (lions/km2),Density,8
Wet,Night,Barafu,E13,Predator occupancy (lions/km2),Density,44
Dry,Night,Barafu,E13,Predator occupancy (lions/km2),Density,12
Wet,Day,Barafu,F01,Predator occupancy (lions/km2),Density,16
Dry,Day,Barafu,F01,Predator occupancy (lions/km2),Density,11
Wet,Night,Barafu,F01,Predator occupancy (lions/km2),Density,4
Dry,Night,Barafu,F01,Predator occupancy (lions/km2),Density,28
Wet,Day,Barafu,F02,Predator occupancy (lions/km2),Density,13
Dry,Day,Barafu,F02,Predator occupancy (lions/km2),Density,16
Wet,Night,Barafu,F02,Predator occupancy (lions/km2),Density,9
Dry,Night,Barafu,F02,Predator occupancy (lions/km2),Density,23
Wet,Day,Barafu,F03,Predator occupancy (lions/km2),Density,41
Dry,Day,Barafu,F03,Predator occupancy (lions/km2),Density,34
Wet,Night,Barafu,F03,Predator occupancy (lions/km2),Density,2
Dry,Night,Barafu,F03,Predator occupancy (lions/km2),Density,44
Wet,Day,Barafu,F04,Predator occupancy (lions/km2),Density,56
Dry,Day,Barafu,F04,Predator occupancy (lions/km2),Density,21
Wet,Night,Barafu,F04,Predator occupancy (lions/km2),Density,43
Dry,Night,Barafu,F04,Predator occupancy (lions/km2),Density,35
Wet,Day,Barafu,F05,Predator occupancy (lions/km2),Density,14
Dry,Day,Barafu,F05,Predator occupancy (lions/km2),Density,4
Wet,Night,Barafu,F05,Predator occupancy (lions/km2),Density,41
Dry,Night,Barafu,F05,Predator occupancy (lions/km2),Density,30
Wet,Day,Barafu,F06,Predator occupancy (lions/km2),Density,22
Dry,Day,Barafu,F06,Predator occupancy (lions/km2),Density,1
Wet,Night,Barafu,F06,Predator occupancy (lions/km2),Density,61
Dry,Night,Barafu,F06,Predator occupancy (lions/km2),Density,3
Wet,Day,Barafu,F07,Predator occupancy (lions/km2),Density,41
Dry,Day,Barafu,F07,Predator occupancy (lions/km2),Density,26
Wet,Night,Barafu,F07,Predator occupancy (lions/km2),Density,17
Dry,Night,Barafu,F07,Predator occupancy (lions/km2),Density,34
Wet,Day,Barafu,F08,Predator occupancy (lions/km2),Density,16
Dry,Day,Barafu,F08,Predator occupancy (lions/km2),Density,16
Wet,Night,Barafu,F08,Predator occupancy (lions/km2),Density,8
Dry,Night,Barafu,F08,Predator occupancy (lions/km2),Density,16
Wet,Day,Barafu,F09,Predator occupancy (lions/km2),Density,4
Dry,Day,Barafu,F09,Predator occupancy (lions/km2),Density,42
Wet,Night,Barafu,F09,Predator occupancy (lions/km2),Density,12
Wet,Night,Barafu,D05,Predator occupancy (lions/km2),Density,30
Dry,Night,Barafu,D05,Predator occupancy (lions/km2),Density,12
Wet,Day,Barafu,D06,Predator occupancy (lions/km2),Density,7
Dry,Day,Barafu,D06,Predator occupancy (lions/km2),Density,45
Wet,Night,Barafu,D06,Predator occupancy (lions/km2),Density,36
Dry,Night,Barafu,D06,Predator occupancy (lions/km2),Density,0
Wet,Day,Barafu,D07,Predator occupancy (lions/km2),Density,60
Dry,Day,Barafu,D07,Predator occupancy (lions/km2),Density,40
Wet,Night,Barafu,D07,Predator occupancy (lions/km2),Density,51
Dry,Night,Barafu,D07,Predator occupancy (lions/km2),Density,38
Wet,Day,Barafu,D08,Predator occupancy (lions/km2),Density,26
Dry,Day,Barafu,D08,Predator occupancy (lions/km2),Density,36
Wet,Night,Barafu,D08,Predator occupancy (lions/km2),Density,6
Dry,Night,Barafu,D08,Predator occupancy (lions/km2),Density,8
Wet,Day,Barafu,D09,Predator occupancy (lions/km2),Density,14
Dry,Day,Barafu,D09,Predator occupancy (lions/km2),Density,42
Wet,Night,Barafu,D09,Predator occupancy (lions/km2),Density,33
Dry,Night,Barafu,D09,Predator occupancy (lions/km2),Density,14
Wet,Day,Barafu,D10,Predator occupancy (lions/km2),Density,45
Dry,Day,Barafu,D10,Predator occupancy (lions/km2),Density,26
Wet,Night,Barafu,D10,Predator occupancy (lions/km2),Density,39
Dry,Night,Barafu,D10,Predator occupancy (lions/km2),Density,21
Wet,Day,Barafu,D11,Predator occupancy (lions/km2),Density,13
Dry,Day,Barafu,D11,Predator occupancy (lions/km2),Density,49
Wet,Night,Barafu,D11,Predator occupancy (lions/km2),Density,29
Dry,Night,Barafu,D11,Predator occupancy (lions/km2),Density,45
Wet,Day,Barafu,D12,Predator occupancy (lions/km2),Density,48
Dry,Day,Barafu,D12,Predator occupancy (lions/km2),Density,45
Wet,Night,Barafu,D12,Predator occupancy (lions/km2),Density,32
Dry,Night,Barafu,D12,Predator occupancy (lions/km2),Density,43
Wet,Day,Barafu,D13,Predator occupancy (lions/km2),Density,10
Dry,Day,Barafu,D13,Predator occupancy (lions/km2),Density,41
Dry,Night,Barafu,G04,Predator occupancy (lions/km2),Density,27
Wet,Day,Barafu,G05,Predator occupancy (lions/km2),Density,24
Dry,Day,Barafu,G05,Predator occupancy (lions/km2),Density,49
Wet,Night,Barafu,G05,Predator occupancy (lions/km2),Density,27
Dry,Night,Barafu,G05,Predator occupancy (lions/km2),Density,45
Wet,Day,Barafu,G06,Predator occupancy (lions/km2),Density,47
Dry,Day,Barafu,G06,Predator occupancy (lions/km2),Density,32
Wet,Night,Barafu,G06,Predator occupancy (lions/km2),Density,28
Dry,Night,Barafu,G06,Predator occupancy (lions/km2),Density,21
Wet,Day,Barafu,G07,Predator occupancy (lions/km2),Density,46
Dry,Day,Barafu,G07,Predator occupancy (lions/km2),Density,0
Wet,Night,Barafu,G07,Predator occupancy (lions/km2),Density,8
Dry,Night,Barafu,G07,Predator occupancy (lions/km2),Density,19
Wet,Day,Barafu,G08,Predator occupancy (lions/km2),Density,18
Dry,Day,Barafu,G08,Predator occupancy (lions/km2),Density,26
Wet,Night,Barafu,G08,Predator occupancy (lions/km2),Density,35
Dry,Night,Barafu,G08,Predator occupancy (lions/km2),Density,2
Wet,Day,Barafu,G09,Predator occupancy (lions/km2),Density,53
Dry,Day,Barafu,G09,Predator occupancy (lions/km2),Density,23
Wet,Night,Barafu,G09,Predator occupancy (lions/km2),Density,7
Dry,Night,Barafu,G09,Predator occupancy (lions/km2),Density,40
Wet,Day,Barafu,G11,Predator occupancy (lions/km2),Density,42
Dry,Day,Barafu,G11,Predator occupancy (lions/km2),Density,4
Wet,Night,Barafu,G11,Predator occupancy (lions/km2),Density,5
Dry,Night,Barafu,G11,Predator occupancy (lions/km2),Density,14
Wet,Day,Barafu,G12,Predator occupancy (lions/km2),Density,40
Dry,Day,Barafu,G12,Predator occupancy (lions/km2),Density,1
Wet,Night,Barafu,G12,Predator occupancy (lions/km2),Density,8
Dry,Night,Barafu,G12,Predator occupancy (lions/km2),Density,33
Wet,Day,Barafu,G13,Predator occupancy (lions/km2),Density,37
Dry,Day,Barafu,G13,Predator occupancy (lions/km2),Density,20
Wet,Night,Barafu,G13,Predator occupancy (lions/km2),Density,50
Dry,Night,Barafu,G13,Predator occupancy (lions/km2),Density,10
Wet,Day,Barafu,H01,Predator occupancy (lions/km2),Density,33
Dry,Day,Barafu,H01,Predator occupancy (lions/km2),Density,35
Wet,Night,Barafu,H01,Predator occupancy (lions/km2),Density,2
Dry,Night,Barafu,H01,Predator occupancy (lions/km2),Density,22
Wet,Day,Barafu,H02,Predator occupancy (lions/km2),Density,18
Dry,Day,Barafu,H02,Predator occupancy (lions/km2),Density,4
Wet,Night,Barafu,H02,Predator occupancy (lions/km2),Density,30
Dry,Night,Barafu,H02,Predator occupancy (lions/km2),Density,35
Wet,Day,Barafu,H03,Predator occupancy (lions/km2),Density,32
Dry,Day,Barafu,H03,Predator occupancy (lions/km2),Density,44
Wet,Night,Barafu,H03,Predator occupancy (lions/km2),Density,32
Dry,Night,Barafu,H03,Predator occupancy (lions/km2),Density,41
Wet,Day,Barafu,H04,Predator occupancy (lions/km2),Density,43
Dry,Day,Barafu,H04,Predator occupancy (lions/km2),Density,38
Wet,Night,Barafu,H04,Predator occupancy (lions/km2),Density,19
Dry,Night,Barafu,H04,Predator occupancy (lions/km2),Density,16
Wet,Day,Barafu,H05,Predator occupancy (lions/km2),Density,16
Dry,Day,Barafu,H05,Predator occupancy (lions/km2),Density,51
Wet,Night,Barafu,H05,Predator occupancy (lions/km2),Density,18
Dry,Night,Barafu,H05,Predator occupancy (lions/km2),Density,16
Wet,Day,Barafu,H06,Predator occupancy (lions/km2),Density,51
Dry,Day,Barafu,H06,Predator occupancy (lions/km2),Density,20
Wet,Night,Barafu,H06,Predator occupancy (lions/km2),Density,50
Dry,Night,Barafu,H06,Predator occupancy (lions/km2),Density,1
Wet,Day,Barafu,H07,Predator occupancy (lions/km2),Density,11
Dry,Day,Barafu,H07,Predator occupancy (lions/km2),Density,40
Wet,Night,Barafu,H07,Predator occupancy (lions/km2),Density,39
Dry,Night,Barafu,H07,Predator occupancy (lions/km2),Density,11
Wet,Day,Barafu,H08,Predator occupancy (lions/km2),Density,25
Dry,Day,Barafu,H08,Predator occupancy (lions/km2),Density,43
Wet,Night,Barafu,H08,Predator occupancy (lions/km2),Density,29
Dry,Night,Barafu,H08,Predator occupancy (lions/km2),Density,45
Wet,Day,Barafu,H09,Predator occupancy (lions/km2),Density,20
Dry,Day,Barafu,H09,Predator occupancy (lions/km2),Density,38
Wet,Night,Barafu,H09,Predator occupancy (lions/km2),Density,5
Dry,Night,Barafu,H09,Predator occupancy (lions/km2),Density,52
Wet,Day,Barafu,H10,Predator occupancy (lions/km2),Density,7
Dry,Day,Barafu,H10,Predator occupancy (lions/km2),Density,37
Wet,Night,Barafu,H10,Predator occupancy (lions/km2),Density,7
Dry,Night,Barafu,H10,Predator occupancy (lions/km2),Density,14
Wet,Day,Barafu,H11,Predator occupancy (lions/km2),Density,29
Dry,Day,Barafu,H11,Predator occupancy (lions/km2),Density,31
Wet,Night,Barafu,H11,Predator occupancy (lions/km2),Density,5
Dry,Night,Barafu,H11,Predator occupancy (lions/km2),Density,10
Wet,Day,Barafu,H12,Predator occupancy (lions/km2),Density,47
Dry,Day,Barafu,H12,Predator occupancy (lions/km2),Density,13
Wet,Night,Barafu,H12,Predator occupancy (lions/km2),Density,38
Dry,Night,Barafu,H12,Predator occupancy (lions/km2),Density,29
Wet,Day,Barafu,H13,Predator occupancy (lions/km2),Density,38
Dry,Day,Barafu,H13,Predator occupancy (lions/km2),Density,8
Wet,Night,Barafu,H13,Predator occupancy (lions/km2),Density,51
Dry,Night,Barafu,H13,Predator occupancy (lions/km2),Density,47
Wet,Day,Barafu,I02,Predator occupancy (lions/km2),Density,36
Dry,Day,Barafu,I02,Predator occupancy (lions/km2),Density,18
Wet,Night,Barafu,I02,Predator occupancy (lions/km2),Density,17
Dry,Night,Barafu,I02,Predator occupancy (lions/km2),Density,46
Wet,Day,Barafu,I03,Predator occupancy (lions/km2),Density,34
Dry,Day,Barafu,I03,Predator occupancy (lions/km2),Density,44
Wet,Night,Barafu,I03,Predator occupancy (lions/km2),Density,23
Dry,Night,Barafu,I03,Predator occupancy (lions/km2),Density,11
Wet,Day,Barafu,I04,Predator occupancy (lions/km2),Density,45
Dry,Day,Barafu,I04,Predator occupancy (lions/km2),Density,39
Wet,Night,Barafu,I04,Predator occupancy (lions/km2),Density,67
Dry,Night,Barafu,I04,Predator occupancy (lions/km2),Density,5
Wet,Day,Barafu,I05,Predator occupancy (lions/km2),Density,4
Dry,Day,Barafu,I05,Predator occupancy (lions/km2),Density,44
Wet,Night,Barafu,I05,Predator occupancy (lions/km2),Density,27
Dry,Night,Barafu,I05,Predator occupancy (lions/km2),Density,15
Wet,Day,Barafu,I06,Predator occupancy (lions/km2),Density,6
Dry,Day,Barafu,I06,Predator occupancy (lions/km2),Density,42
Wet,Night,Barafu,I06,Predator occupancy (lions/km2),Density,23
Dry,Night,Barafu,I06,Predator occupancy (lions/km2),Density,64
Wet,Day,Barafu,I07,Predator occupancy (lions/km2),Density,44
Dry,Day,Barafu,I07,Predator occupancy (lions/km2),Density,0
Wet,Night,Barafu,I07,Predator occupancy (lions/km2),Density,15
Dry,Night,Barafu,I07,Predator occupancy (lions/km2),Density,8
Wet,Day,Barafu,I08,Predator occupancy (lions/km2),Density,18
Dry,Day,Barafu,I08,Predator occupancy (lions/km2),Density,37
Wet,Night,Barafu,I08,Predator occupancy (lions/km2),Density,38
Dry,Night,Barafu,I08,Predator occupancy (lions/km2),Density,25
Wet,Day,Barafu,I09,Predator occupancy (lions/km2),Density,21
Dry,Day,Barafu,I09,Predator occupancy (lions/km2),Density,37
Wet,Night,Barafu,I09,Predator occupancy (lions/km2),Density,26
Dry,Night,Barafu,I09,Predator occupancy (lions/km2),Density,7
Wet,Day,Barafu,I10,Predator occupancy (lions/km2),Density,19
Dry,Day,Barafu,I10,Predator occupancy (lions/km2),Density,22
Wet,Night,Barafu,I10,Predator occupancy (lions/km2),Density,47
Dry,Night,Barafu,I10,Predator occupancy (lions/km2),Density,28
Wet,Day,Barafu,I11,Predator occupancy (lions/km2),Density,31
Dry,Day,Barafu,I11,Predator occupancy (lions/km2),Density,7
Wet,Night,Barafu,I11,Predator occupancy (lions/km2),Density,18
Dry,Night,Barafu,I11,Predator occupancy (lions/km2),Density,7
Wet,Day,Barafu,I12,Predator occupancy (lions/km2),Density,26
Dry,Day,Barafu,I12,Predator occupancy (lions/km2),Density,22
Wet,Night,Barafu,I12,Predator occupancy (lions/km2),Density,22
Dry,Night,Barafu,I12,Predator occupancy (lions/km2),Density,46
Wet,Day,Barafu,I13,Predator occupancy (lions/km2),Density,2
Dry,Day,Barafu,I13,Predator occupancy (lions/km2),Density,23
Wet,Night,Barafu,I13,Predator occupancy (lions/km2),Density,52
Dry,Night,Barafu,I13,Predator occupancy (lions/km2),Density,31
Wet,Day,Barafu,J02,Predator occupancy (lions/km2),Density,25
Dry,Day,Barafu,J02,Predator occupancy (lions/km2),Density,53
Wet,Night,Barafu,J02,Predator occupancy (lions/km2),Density,14
Dry,Night,Barafu,J02,Predator occupancy (lions/km2),Density,20
Wet,Day,Barafu,J03,Predator occupancy (lions/km2),Density,18
Dry,Day,Barafu,J03,Predator occupancy (lions/km2),Density,55
Wet,Night,Barafu,J03,Predator occupancy (lions/km2),Density,14
Dry,Night,Barafu,J03,Predator occupancy (lions/km2),Density,18
Wet,Day,Barafu,J04,Predator occupancy (lions/km2),Density,55
Dry,Day,Barafu,J04,Predator occupancy (lions/km2),Density,7
Wet,Night,Barafu,J04,Predator occupancy (lions/km2),Density,29
Dry,Night,Barafu,J04,Predator occupancy (lions/km2),Density,50
Wet,Day,Barafu,J05,Predator occupancy (lions/km2),Density,32
Dry,Day,Barafu,J05,Predator occupancy (lions/km2),Density,2
Wet,Night,Barafu,J05,Predator occupancy (lions/km2),Density,27
Dry,Night,Barafu,J05,Predator occupancy (lions/km2),Density,33
Wet,Day,Barafu,J06,Predator occupancy (lions/km2),Density,18
Dry,Day,Barafu,J06,Predator occupancy (lions/km2),Density,3
Wet,Night,Barafu,J06,Predator occupancy (lions/km2),Density,14
Dry,Night,Barafu,J06,Predator occupancy (lions/km2),Density,19
Wet,Day,Barafu,J07,Predator occupancy (lions/km2),Density,20
Dry,Day,Barafu,J07,Predator occupancy (lions/km2),Density,1
Wet,Night,Barafu,J07,Predator occupancy (lions/km2),Density,15
Dry,Night,Barafu,J07,Predator occupancy (lions/km2),Density,1
Wet,Day,Barafu,J08,Predator occupancy (lions/km2),Density,22
Dry,Day,Barafu,J08,Predator occupancy (lions/km2),Density,18
Wet,Night,Barafu,J08,Predator occupancy (lions/km2),Density,37
Dry,Night,Barafu,J08,Predator occupancy (lions/km2),Density,11
Wet,Day,Barafu,J09,Predator occupancy (lions/km2),Density,49
Dry,Day,Barafu,J09,Predator occupancy (lions/km2),Density,9
Wet,Night,Barafu,J09,Predator occupancy (lions/km2),Density,26
Dry,Night,Barafu,J09,Predator occupancy (lions/km2),Density,35
Wet,Day,Barafu,J10,Predator occupancy (lions/km2),Density,20
Dry,Day,Barafu,J10,Predator occupancy (lions/km2),Density,50
Wet,Night,Barafu,J10,Predator occupancy (lions/km2),Density,21
Dry,Night,Barafu,J10,Predator occupancy (lions/km2),Density,5
Wet,Day,Barafu,J11,Predator occupancy (lions/km2),Density,6
Dry,Day,Barafu,J11,Predator occupancy (lions/km2),Density,1
Wet,Night,Barafu,J11,Predator occupancy (lions/km2),Density,37
Dry,Night,Barafu,J11,Predator occupancy (lions/km2),Density,36
Wet,Day,Barafu,J12,Predator occupancy (lions/km2),Density,55
Dry,Day,Barafu,J12,Predator occupancy (lions/km2),Density,43
Wet,Night,Barafu,J12,Predator occupancy (lions/km2),Density,34
Dry,Night,Barafu,J12,Predator occupancy (lions/km2),Density,36
Wet,Day,Barafu,J13,Predator occupancy (lions/km2),Density,38
Dry,Day,Barafu,J13,Predator occupancy (lions/km2),Density,8
Wet,Night,Barafu,J13,Predator occupancy (lions/km2),Density,34
Dry,Night,Barafu,J13,Predator occupancy (lions/km2),Density,3
Wet,Day,Barafu,K03,Predator occupancy (lions/km2),Density,51
Dry,Day,Barafu,K03,Predator occupancy (lions/km2),Density,15
Wet,Night,Barafu,K03,Predator occupancy (lions/km2),Density,57
Dry,Night,Barafu,K03,Predator occupancy (lions/km2),Density,18
Wet,Day,Barafu,K04,Predator occupancy (lions/km2),Density,22
Dry,Day,Barafu,K04,Predator occupancy (lions/km2),Density,31
Wet,Night,Barafu,K04,Predator occupancy (lions/km2),Density,20
Dry,Night,Barafu,K04,Predator occupancy (lions/km2),Density,2
Wet,Day,Barafu,K05,Predator occupancy (lions/km2),Density,59
Dry,Day,Barafu,K05,Predator occupancy (lions/km2),Density,47
Wet,Night,Barafu,K05,Predator occupancy (lions/km2),Density,42
Dry,Night,Barafu,K05,Predator occupancy (lions/km2),Density,25
Wet,Day,Barafu,K06,Predator occupancy (lions/km2),Density,25
Dry,Day,Barafu,K06,Predator occupancy (lions/km2),Density,16
Wet,Night,Barafu,K06,Predator occupancy (lions/km2),Density,23
Dry,Night,Barafu,K06,Predator occupancy (lions/km2),Density,39
Wet,Day,Barafu,K07,Predator occupancy (lions/km2),Density,43
Dry,Day,Barafu,K07,Predator occupancy (lions/km2),Density,34
Wet,Night,Barafu,K07,Predator occupancy (lions/km2),Density,40
Dry,Night,Barafu,K07,Predator occupancy (lions/km2),Density,50
Wet,Day,Barafu,K08,Predator occupancy (lions/km2),Density,54
